iter	RMSE
0	68850.53825
1	67496.45328
2	66230.4812
3	65150.64509
4	64108.59786
5	62864.77732
6	61727.17234
7	60640.51802
8	59563.15904
9	58560.87424
10	57531.74038
11	56586.86356
12	55582.89815
13	54643.1447
14	53753.57675
15	52954.08799
16	52061.60044
17	51227.50225
18	50435.28432
19	49618.94444
20	48806.04782
21	48066.58244
22	47373.83285
23	46730.0403
24	46049.57422
25	45428.89638
26	44776.91951
27	44208.12011
28	43672.12686
29	43071.03958
30	42487.39728
31	41883.43807
32	41452.13769
33	41020.19342
34	40562.00399
35	40054.509
36	39567.53322
37	39097.66335
38	38651.95709
39	38152.22457
40	37708.89807
41	37430.85281
42	37085.374
43	36641.03546
44	36221.9586
45	35853.61291
46	35454.12411
47	35090.41556
48	34727.49921
49	34364.44091
50	34026.24744
51	33714.01362
52	33444.44674
53	33128.9453
54	32888.58513
55	32610.1262
56	32372.58017
57	32118.84375
58	31881.52138
59	31567.68708
60	31293.64035
61	31058.6861
62	30843.4749
63	30573.29742
64	30314.29901
65	30081.21326
66	29866.91679
67	29668.09848
68	29425.11082
69	29197.1493
70	29018.23027
71	28836.00207
72	28640.65457
73	28450.87447
74	28225.0083
75	28051.4453
76	27898.63959
77	27663.33885
78	27514.62341
79	27361.91033
80	27200.03806
81	27026.86451
82	26880.49236
83	26673.8291
84	26483.75461
85	26379.54408
86	26249.11136
87	26125.83218
88	25936.41293
89	25731.8626
90	25621.3691
91	25467.06257
92	25275.3169
93	25132.73628
94	24985.74099
95	24903.98872
96	24773.92276
97	24692.4541
98	24566.18706
99	24413.4502
100	24285.26816
101	24181.85435
102	24096.93254
103	24017.64399
104	23946.03193
105	23835.70259
106	23690.4243
107	23595.3637
108	23505.80897
109	23427.50577
110	23315.50359
111	23224.76777
112	23123.28476
113	23011.42266
114	22937.80186
115	22863.23754
116	22769.26104
117	22706.40564
118	22607.18834
119	22527.55254
120	22445.65242
121	22371.11236
122	22274.57718
123	22206.18537
124	22130.80768
125	22050.16632
126	21975.22334
127	21934.27337
128	21851.74272
129	21778.82852
130	21702.15341
131	21640.34691
132	21587.432
133	21493.44955
134	21440.93731
135	21361.15471
136	21277.36821
137	21158.76054
138	21095.46784
139	20995.25524
140	20906.72375
141	20846.31955
142	20794.03082
143	20740.77616
144	20700.48777
145	20626.84898
146	20584.39401
147	20539.60491
148	20467.60188
149	20420.2992
150	20341.71233
151	20256.15426
152	20181.27381
153	20134.09774
154	20073.30995
155	19990.32409
156	19919.80222
157	19878.64321
158	19814.11741
159	19744.7012
160	19680.2967
161	19641.82618
162	19579.68584
163	19526.32104
164	19466.45091
165	19426.21581
166	19355.46552
167	19296.56873
168	19255.20256
169	19203.64767
170	19159.90047
171	19090.97837
172	19043.42909
173	19007.12332
174	18988.08879
175	18954.02925
176	18926.24204
177	18886.39346
178	18851.83266
179	18795.79359
180	18753.54448
181	18707.95939
182	18666.39783
183	18639.28839
184	18615.066
185	18562.84845
186	18515.17943
187	18456.91374
188	18414.50972
189	18367.51766
190	18332.9349
191	18297.95708
192	18274.94042
193	18245.84949
194	18221.4109
195	18171.42481
196	18127.70179
197	18111.7483
198	18078.99445
199	18031.07823
200	17972.41992
201	17936.80096
202	17906.88018
203	17868.21399
204	17827.649
205	17782.13388
206	17757.5045
207	17727.33663
208	17688.63582
209	17640.24692
210	17612.73477
211	17577.43657
212	17548.26002
213	17511.08081
214	17482.68767
215	17455.00666
216	17423.50774
217	17400.55708
218	17361.07222
219	17328.14357
220	17304.30745
221	17265.95461
222	17229.344
223	17210.08364
224	17175.66771
225	17158.42188
226	17127.92045
227	17101.96297
228	17062.02997
229	17022.92675
230	16990.9068
231	16954.92267
232	16930.18514
233	16903.04925
234	16865.52398
235	16842.07391
236	16815.93474
237	16785.10721
238	16748.76206
239	16727.89628
240	16702.90794
241	16683.80658
242	16662.73052
243	16645.70712
244	16614.61805
245	16587.09349
246	16573.55235
247	16544.4551
248	16526.23867
249	16506.70507
250	16483.2832
251	16460.68806
252	16447.00284
253	16429.45065
254	16409.60694
255	16370.85497
256	16349.89382
257	16328.21045
258	16312.35232
259	16292.88632
260	16268.35551
261	16251.86863
262	16223.44796
263	16202.15683
264	16175.20964
265	16154.81774
266	16140.04668
267	16124.91825
268	16103.68371
269	16075.44272
270	16060.05122
271	16035.91937
272	16006.04931
273	15978.34237
274	15948.89192
275	15931.97505
276	15914.86945
277	15899.7435
278	15878.04768
279	15860.59767
280	15849.06543
281	15829.172
282	15804.03831
283	15780.36197
284	15759.64393
285	15745.46602
286	15730.51959
287	15711.29882
288	15693.21985
289	15671.78106
290	15640.40775
291	15618.65547
292	15597.40971
